                             mean          std        2.5q         25q         50q          75q      97.5q       mc err
a_subj(SH.PD-Off).10      1.18375    0.0612689     1.06817     1.14145     1.18212      1.22434     1.3078  0.000318483
a_subj(SH.PD-Off).11      1.09871    0.0506715     1.00294     1.06392     1.09747      1.13233    1.20105   0.00021897
a_subj(SH.PD-Off).12      1.02084     0.049012    0.928395    0.987691     1.01926      1.05239     1.1211  0.000252084
a_subj(SH.PD-Off).13      1.14313    0.0624405      1.0262     1.09982     1.14163      1.18411    1.26995  0.000314115
a_subj(SH.PD-Off).14     0.895546    0.0594433    0.784266    0.854321    0.893758     0.934743    1.01642  0.000409229
a_subj(SH.PD-Off).15      1.25473    0.0791375     1.10472      1.2006     1.25271      1.30721    1.41551  0.000582477
a_subj(SH.PD-On).0        1.08428    0.0604035    0.970879     1.04295     1.08265      1.12465    1.20627  0.000307815
a_subj(SH.PD-On).1        1.05062    0.0632493    0.933627     1.00674     1.04852      1.09185    1.18114  0.000446555
a_subj(SH.PD-On).2        1.24875    0.0618682     1.13179     1.20623     1.24713      1.28986    1.37438  0.000354523
a_subj(SH.PD-On).3       0.922442    0.0510876     0.82755    0.886988    0.920679      0.95571     1.0283  0.000337007
a_subj(SH.PD-On).4        1.03092    0.0599316    0.917276    0.990098     1.02953       1.0707    1.15238  0.000406251
a_subj(SH.PD-On).5        1.31807    0.0845727     1.15697     1.26019     1.31642      1.37413    1.48859  0.000541052
a_subj(SH.PD-On).6        1.06284    0.0686499    0.933853     1.01555     1.06124      1.10857    1.20183  0.000524737
a_subj(SH.PD-On).7        1.04452     0.050915    0.947903     1.00944     1.04362      1.07821    1.14745  0.000226176
a_subj(SH.PD-On).8        1.07276    0.0649145    0.950269       1.028     1.07137      1.11567     1.2037  0.000482458
a_subj(SH.PD-On).9        1.00991     0.063924    0.889101    0.965709     1.00796      1.05192    1.13924  0.000403151
a_subj(SH.PD-On).10       1.13869    0.0583123     1.02951     1.09882     1.13698      1.17664    1.25826  0.000312116
a_subj(SH.PD-On).11      0.986954    0.0576319    0.879302    0.946968    0.985137      1.02506    1.10429  0.000344722
a_subj(SH.PD-On).12        1.0375    0.0491093    0.945615     1.00396     1.03625      1.06946    1.13773  0.000266437
a_subj(SH.PD-On).13       1.23473    0.0714478     1.10104     1.18534     1.23314      1.28152     1.3802  0.000409482
a_subj(SH.PD-On).14       1.18952    0.0763496     1.04348     1.13743     1.18808      1.24073    1.34292  0.000595138
a_subj(SH.PD-On).15       1.33106    0.0824014     1.17445     1.27453     1.32925      1.38551    1.49851  0.000613127
a_subj(SL.Control).0     0.849173     0.051506    0.752863    0.813832    0.847455     0.882399   0.955604  0.000350287
a_subj(SL.Control).1     0.787307    0.0510246    0.692866    0.751596    0.785521      0.82059   0.892617  0.000393358
a_subj(SL.Control).2     0.912104    0.0486139    0.821964    0.878385    0.910158     0.943783    1.01142  0.000283387
a_subj(SL.Control).3      1.15877    0.0692762     1.02715     1.11107     1.15751      1.20431    1.29858  0.000408352
a_subj(SL.Control).4     0.742321    0.0429199    0.662469    0.712513    0.740921     0.770597   0.830463  0.000261963
a_subj(SL.Control).5     0.950102    0.0616695    0.832972     0.90776    0.948988     0.991289    1.07435  0.000384784
a_subj(SL.Control).6     0.841779    0.0550395    0.738404    0.803872    0.840073      0.87773   0.954614  0.000436223
a_subj(SL.Control).7     0.716337    0.0346135     0.65207    0.692216    0.715245     0.738854   0.787628  0.000232493
a_subj(SL.Control).8      1.13415    0.0714341    0.999423       1.085     1.13303      1.18133    1.27834  0.000451055
a_subj(SL.Control).10      1.0461    0.0600932    0.932591      1.0046     1.04468      1.08603    1.16659  0.000364086
a_subj(SL.Control).11    0.660155    0.0364905    0.592557    0.635061      0.6588     0.684061   0.735236  0.000211676
a_subj(SL.Control).12    0.911643    0.0526778    0.813199     0.87514    0.909732     0.946073      1.019  0.000306169
a_subj(SL.Control).13    0.678089    0.0360753    0.610975    0.652996    0.676886     0.701941    0.75267  0.000196971
a_subj(SL.Control).14     0.94995    0.0582809    0.841254    0.909479    0.948032     0.988839    1.06853  0.000462364
a_subj(SL.Control).15    0.918584    0.0527447    0.818539    0.882194    0.917439     0.953435    1.02535   0.00035218
a_subj(SL.PD-Off).0       1.18119    0.0596766     1.06835     1.14009     1.17945      1.22115    1.30293  0.000302445
a_subj(SL.PD-Off).1       1.02552    0.0628091    0.907897    0.982135     1.02359      1.06711    1.15371  0.000393818
a_subj(SL.PD-Off).2       1.06846    0.0546827    0.965893     1.03084     1.06679      1.10416    1.17975  0.000281343
a_subj(SL.PD-Off).3       1.27289    0.0770497     1.12705     1.22002     1.27114      1.32394    1.42827  0.000507127
a_subj(SL.PD-Off).4      0.843443    0.0465088    0.757427    0.811421    0.841773     0.873637     0.9403  0.000324474
a_subj(SL.PD-Off).5      0.920954    0.0603777    0.808488    0.879398    0.919124     0.960279    1.04482  0.000432416
a_subj(SL.PD-Off).6       1.09423    0.0666442    0.966668     1.04868     1.09293      1.13836    1.22756   0.00049193
a_subj(SL.PD-Off).7      0.912164    0.0500737    0.819801    0.877259    0.910769     0.945047    1.01489  0.000301937
a_subj(SL.PD-Off).8       1.17574    0.0682582      1.0482     1.12829     1.17402       1.2208    1.31595   0.00041622
a_subj(SL.PD-Off).9       1.01667    0.0674089    0.889253    0.970058     1.01524      1.06145    1.15191  0.000430787
a_subj(SL.PD-Off).10      1.15402    0.0546772     1.05252     1.11627     1.15209      1.18998    1.26529  0.000284187
a_subj(SL.PD-Off).11       1.1311    0.0558895     1.02574     1.09246     1.12952      1.16819    1.24397  0.000318757
a_subj(SL.PD-Off).12      1.16774    0.0566928     1.06018     1.12867     1.16618      1.20523     1.2828  0.000279437
a_subj(SL.PD-Off).13      0.95337    0.0572783    0.847116    0.913539    0.951143     0.990759    1.07176  0.000378569
a_subj(SL.PD-Off).14      1.03661    0.0666314    0.911592    0.991127     1.03441      1.08041    1.17319  0.000536002
a_subj(SL.PD-Off).15       1.2072    0.0757904     1.06316     1.15536      1.2059      1.25771    1.35995  0.000518549
a_subj(SL.PD-On).0        1.12407    0.0568682      1.0175     1.08502     1.12229      1.16087    1.24038  0.000303086
a_subj(SL.PD-On).1        1.03942    0.0607287    0.925372    0.997379     1.03797      1.07944     1.1633  0.000384804
a_subj(SL.PD-On).2         1.0065    0.0496169    0.913834    0.972381     1.00463       1.0388    1.10958  0.000251835
a_subj(SL.PD-On).3       0.956657    0.0514383    0.860491    0.920993    0.954907      0.99013    1.06222  0.000339312
