                              mean          std       2.5q        25q          50q         75q       97.5q       mc err
v_subj(SH.PD-Off).11     0.0270552    0.0636211 -0.0961008 -0.0140049    0.0261666   0.0661627    0.162541   0.00392038
v_subj(SH.PD-Off).12     0.0215011    0.0635157  -0.102675 -0.0191911    0.0205003   0.0608561    0.156717   0.00385564
v_subj(SH.PD-Off).13      0.025361     0.063545 -0.0986375 -0.0155536    0.0245131    0.064284    0.161834   0.00388744
v_subj(SH.PD-Off).14     0.0258659    0.0639918 -0.0978403 -0.0154659    0.0248643   0.0650869      0.1628   0.00391227
v_subj(SH.PD-Off).15     0.0242504    0.0634824 -0.0992376 -0.0163291    0.0234994   0.0634847    0.159315   0.00386675
v_subj(SH.PD-On).0      -0.0831507    0.0607882  -0.200445  -0.123514   -0.0833793  -0.0438086   0.0426715   0.00325257
v_subj(SH.PD-On).1      -0.0809078    0.0610745  -0.198091  -0.121408   -0.0814409  -0.0422828   0.0463016   0.00325284
v_subj(SH.PD-On).2      -0.0901738    0.0612519  -0.211291  -0.130149   -0.0897106  -0.0485199    0.033952   0.00326981
v_subj(SH.PD-On).3      -0.0818173    0.0612326  -0.199677  -0.122469   -0.0822054  -0.0431626   0.0452549   0.00324614
v_subj(SH.PD-On).4      -0.0830008    0.0612689  -0.200859  -0.123827   -0.0834987   -0.043461   0.0440122   0.00326218
v_subj(SH.PD-On).5      -0.0821752    0.0607768  -0.199777  -0.122719   -0.0822417  -0.0434332   0.0432444   0.00323455
v_subj(SH.PD-On).6      -0.0821995    0.0613516  -0.200346  -0.122773   -0.0824074  -0.0433127   0.0457677   0.00326518
v_subj(SH.PD-On).7      -0.0845591    0.0608456  -0.201753  -0.124599     -0.08506  -0.0445729   0.0416592   0.00324241
v_subj(SH.PD-On).8      -0.0815439    0.0614184  -0.199557    -0.1221   -0.0817046  -0.0426233   0.0461715   0.00325212
v_subj(SH.PD-On).9      -0.0825832      0.06143  -0.200765  -0.123096   -0.0831134   -0.043719   0.0444085     0.003259
v_subj(SH.PD-On).10     -0.0839614    0.0605157  -0.201436  -0.124165   -0.0842964  -0.0447327   0.0421954   0.00323162
v_subj(SH.PD-On).11     -0.0814438    0.0609001  -0.198494  -0.121721   -0.0815093  -0.0431169   0.0455563   0.00324941
v_subj(SH.PD-On).12     -0.0811575    0.0608311  -0.198298   -0.12163   -0.0811053  -0.0427332   0.0453398   0.00323395
