                              mean          std        2.5q         25q          50q          75q       97.5q       mc err
a_subj(SH.PD-On).12        1.03751    0.0498342    0.943838     1.00331      1.03596      1.07049     1.13806  0.000300745
a_subj(SH.PD-On).13        1.23535    0.0708518     1.10227     1.18672      1.23343      1.28143      1.3801  0.000397185
a_subj(SH.PD-On).14        1.18872    0.0759379     1.04549     1.13654      1.18685      1.23913      1.3412  0.000531568
a_subj(SH.PD-On).15         1.3291    0.0823051     1.17318     1.27203      1.32743      1.38352     1.49588   0.00051129
a_subj(SL.Control).0      0.849116    0.0515333    0.753612    0.813415     0.847225     0.883036    0.954413  0.000342332
a_subj(SL.Control).1      0.787437    0.0507421    0.693348    0.752379       0.7855     0.820807    0.891884  0.000323534
a_subj(SL.Control).2      0.911812    0.0488192     0.82038    0.878064     0.910213     0.944027     1.01132  0.000244441
a_subj(SL.Control).3       1.15825    0.0693213     1.02715     1.11071       1.1571      1.20406      1.2984  0.000408326
a_subj(SL.Control).4      0.741777     0.043206    0.660883    0.711869     0.740662     0.770313    0.830301  0.000286324
a_subj(SL.Control).5      0.950507    0.0619251    0.833384    0.907856     0.949149     0.991458     1.07628  0.000394449
a_subj(SL.Control).6      0.841392      0.05472    0.738675     0.80354     0.839909     0.877428    0.952606   0.00043789
a_subj(SL.Control).7      0.716078    0.0349626    0.651846    0.691833     0.714896     0.738726    0.788173  0.000200129
a_subj(SL.Control).8       1.13328    0.0707831    0.997471     1.08454      1.13206      1.18036      1.2757  0.000441693
a_subj(SL.Control).10      1.04584    0.0599527    0.932361     1.00485      1.04438      1.08536     1.16738  0.000331733
a_subj(SL.Control).11     0.659726    0.0364085    0.592418    0.634422     0.658517     0.683512    0.734828  0.000195858
a_subj(SL.Control).12     0.912554    0.0527192    0.814749    0.876312     0.910991     0.946795     1.02147  0.000343758
a_subj(SL.Control).13     0.678188    0.0358836    0.610908     0.65353     0.676932     0.701622    0.751837  0.000191981
a_subj(SL.Control).14     0.948773     0.058004    0.840834    0.908725     0.946925     0.987073     1.06795  0.000416731
a_subj(SL.Control).15      0.91757    0.0528116      0.8173    0.881327     0.916616     0.952436      1.0243  0.000304492
a_subj(SL.PD-Off).0        1.18079    0.0591933     1.06917     1.13973      1.17957      1.22011     1.30025  0.000345204
a_subj(SL.PD-Off).1        1.02494    0.0628218    0.907984    0.981515      1.02301      1.06604     1.15431  0.000427647
a_subj(SL.PD-Off).2        1.06838    0.0550528     0.96432     1.03035      1.06696      1.10496     1.17971  0.000308606
a_subj(SL.PD-Off).3        1.27313    0.0773643     1.12772     1.21997      1.27107      1.32462     1.42976  0.000426056
a_subj(SL.PD-Off).4       0.844009    0.0462836    0.757664    0.811834     0.842344     0.874121    0.939895  0.000306895
a_subj(SL.PD-Off).5       0.921194     0.059384    0.810145    0.879877     0.919541     0.960061     1.04282  0.000405402
a_subj(SL.PD-Off).6        1.09329    0.0668541    0.966737     1.04756      1.09155      1.13749      1.2282  0.000486497
a_subj(SL.PD-Off).7       0.912888    0.0496682     0.82048    0.878736     0.911124     0.945487     1.01558   0.00030664
a_subj(SL.PD-Off).8        1.17493    0.0689937      1.0444     1.12713      1.17327      1.22091      1.3143  0.000431239
a_subj(SL.PD-Off).9        1.01674    0.0667973    0.890549    0.970804      1.01511       1.0615     1.15241  0.000430989
a_subj(SL.PD-Off).10       1.15434    0.0546172     1.05127     1.11677      1.15291      1.19036     1.26517  0.000332773
a_subj(SL.PD-Off).11        1.1309    0.0560632     1.02484      1.0926       1.1293      1.16772     1.24492  0.000295658
a_subj(SL.PD-Off).12       1.16758    0.0570359     1.05974     1.12823       1.1665      1.20568     1.28227  0.000292005
a_subj(SL.PD-Off).13       0.95288     0.057725    0.845655    0.912967      0.95109     0.990519     1.07177  0.000346511
a_subj(SL.PD-Off).14        1.0357    0.0657973    0.911278     0.99006      1.03407      1.07948     1.16812  0.000468272
a_subj(SL.PD-Off).15       1.20566    0.0766469     1.06047     1.15274      1.20384      1.25673     1.35978  0.000498804
a_subj(SL.PD-On).0         1.12448    0.0568778     1.01711     1.08536      1.12283      1.16213     1.23989   0.00029559
a_subj(SL.PD-On).1         1.03858    0.0605546     0.92402     0.99755      1.03704      1.07815     1.16223  0.000400857
a_subj(SL.PD-On).2         1.00688    0.0493185    0.914656    0.972793       1.0054       1.0392     1.10724  0.000295189
a_subj(SL.PD-On).3        0.956913    0.0516331    0.860022    0.921171     0.955412     0.990636      1.0622  0.000353692
a_subj(SL.PD-On).4        0.880184    0.0514492    0.784167     0.84459     0.878409     0.914215    0.985773  0.000265266
a_subj(SL.PD-On).5        0.960105    0.0583071    0.850665    0.919991     0.958228     0.998221     1.07982  0.000372973
a_subj(SL.PD-On).6        0.851815    0.0540682    0.749721    0.814414     0.850496     0.887893    0.960922  0.000419173
a_subj(SL.PD-On).7        0.908032    0.0455885    0.822629    0.876607     0.906787     0.937864     1.00088  0.000236809
a_subj(SL.PD-On).8        0.919141    0.0562276    0.813656     0.88016     0.917329      0.95628     1.03373  0.000344588
a_subj(SL.PD-On).9         1.02165    0.0656192    0.897162     0.97639      1.02013      1.06556     1.15293  0.000464712
a_subj(SL.PD-On).10        1.01367    0.0531064    0.914162     0.97699      1.01202      1.04904      1.1213  0.000282296
a_subj(SL.PD-On).11       0.705248     0.036467       0.637    0.679781     0.704212     0.729263    0.779543  0.000220829
a_subj(SL.PD-On).12        1.05657    0.0540477    0.954547     1.01962      1.05542      1.09205     1.16635  0.000267942
a_subj(SL.PD-On).13       0.955773    0.0543526    0.855669    0.918176     0.953323     0.991169     1.06796  0.000337554
a_subj(SL.PD-On).14       0.867089    0.0571464    0.761938     0.82704     0.864679     0.904487    0.984723  0.000440949
a_subj(SL.PD-On).15       0.908835    0.0592268     0.79747    0.867736        0.907      0.94778     1.02996  0.000394309
v(Control)              -0.0261858    0.0395308   -0.101245  -0.0530221   -0.0269084 -0.000225432   0.0521176   0.00163944
v(PD-Off)               0.00206088    0.0327492  -0.0615537  -0.0200755   0.00203106    0.0240674   0.0666197   0.00128708
v(PD-On)                -0.0849065    0.0335627   -0.150355   -0.107921   -0.0851728   -0.0609684  -0.0199191   0.00133297
v_std                    0.0331139    0.0229136  0.00229193   0.0145168    0.0293095    0.0474079   0.0854178   0.00116595
